0,1,2,3,4,objective,elapsed_sec
8,11,1,14,6,-1.0,5.872729063034058
1,4,3,1,6,-1.0,10.846441984176636
8,9,1,13,12,-1.0,15.594990968704224
4,15,9,6,15,-1.0,21.1467502117157
7,10,4,3,8,-1.0,26.7603440284729
15,1,0,8,14,-1.0,32.1195170879364
14,3,11,14,14,-1.0,36.62874484062195
3,15,7,15,7,-1.0,41.46426582336426
12,2,15,11,13,-1.0,46.335875034332275
15,15,13,15,12,-1.0,51.14647889137268
0,1,0,8,10,0.9340618,63.44519376754761
0,1,4,2,10,-1.0,68.39571189880371
1,10,0,14,13,-1.0,73.17275786399841
0,1,0,9,5,0.9315073,84.30035090446472
0,10,0,6,13,-1.0,89.14996790885925
0,15,0,12,4,-1.0,94.27224898338318
0,1,0,13,6,0.9243518,105.23827600479126
0,0,2,10,9,-1.0,110.07176113128662
1,0,0,8,3,0.9336324,120.26698684692383
1,0,0,8,2,0.935621,130.59725999832153
1,1,0,5,2,-1.0,135.19506692886353
3,10,0,8,4,-1.0,139.90181708335876
0,0,0,8,5,0.9486181,150.9634759426117
9,0,0,9,0,0.91851896,161.72693181037903
4,0,1,7,10,-1.0,166.51994681358337
1,2,0,9,0,0.93159723,177.14903211593628
0,0,1,9,3,0.93955183,188.29222893714905
0,0,1,7,0,0.95196867,200.3051381111145
5,3,8,7,1,-1.0,205.5267219543457
3,0,7,8,0,-1.0,210.8280291557312
7,0,0,11,2,0.94287187,221.57850408554077
5,0,0,9,9,-1.0,226.33365392684937
3,0,1,14,1,-1.0,230.87003111839294
1,2,2,9,0,-1.0,235.50264477729797
3,0,0,10,0,0.932587,245.80963397026062
0,0,0,11,2,0.91309094,256.5383458137512
6,0,0,10,5,-1.0,261.6409068107605
1,0,0,8,15,0.93538886,272.01667404174805
1,0,0,7,2,0.9147514,283.05258679389954
7,0,0,11,4,-1.0,287.93689799308777
0,0,1,7,3,0.92405456,299.18593096733093
10,0,0,9,0,0.9122677,310.0581648349762
0,3,1,10,0,0.94647765,322.3584940433502
2,0,0,15,15,-1.0,327.76321816444397
0,8,0,9,1,-1.0,332.5612299442291
7,0,0,8,2,0.94638467,343.36046290397644
0,1,1,9,8,0.9261129,354.30696201324463
7,2,0,10,2,0.9250441,364.60891580581665
6,1,1,11,0,-1.0,369.3203749656677
2,0,1,7,1,-1.0,374.3601529598236
0,2,1,8,6,0.94095004,386.45158791542053
1,3,1,8,0,-1.0,391.39163517951965
0,0,1,9,0,0.9219036,401.85680985450745
0,1,0,7,0,0.930271,414.1381778717041
0,1,1,2,1,0.9371926,425.0343761444092
0,1,0,9,6,0.9317153,435.8838539123535
0,3,1,10,3,0.94642824,446.66361784935
0,5,1,7,1,0.8947337,457.3343048095703
0,0,0,5,0,0.93900263,467.9993450641632
0,2,0,2,2,0.95110697,478.65162897109985
0,3,1,4,0,0.92770267,490.1049430370331
0,3,0,10,11,-1.0,494.90300607681274
0,3,1,10,7,-1.0,499.80649399757385
4,6,0,13,0,-1.0,504.80425214767456
